Job,Company,Requirements
Shift Manager- (Fast Food Restaurant),Burger King,Full timeManager · 2+ Yrs of Exp · Food Services · Operation · Management · Fast Food · Hospitality/Hotels/Food Services · Operations/Management
Growth Hacking Specialist - Remotely,MatsMall,Part timeWork from homeExperienced · 2+ Yrs of Exp · Digital Marketing · Marketing · Social Media · CRM · E-marketing · Social · English · Media · Campaigns · Google Adwords
Sales Manager,Confidential -,Full timeManager · 3 - 5 Yrs of Exp · males_only · Sales Skills · Sales Target · Sales · Customer Service · Sales Planning · Sales/Retail
Trade Marketing Manager,Confidential -,Full timeManager · 3 - 10 Yrs of Exp · Trade Marketing · Marketing Strategies · Promotion · Marketing · Sales Skills · Social Media · Management · Operations/Management · Marketing/PR/Advertising
Automotive Workshop Engineer,Elbadry Auto,Full timeExperienced · 3 - 5 Yrs of Exp · males_only · Mechanical Engineering · Automotive · Engineering · Maintenance · Workshop · Mechanical · Communication Skills · Automotive Engineering · Road Testing · Installation/Maintenance/Repair
Water Treatment Specialist,Nile Co. For Water Treatment,Full timeExperienced · 2 - 4 Yrs of Exp · Chemist · Water Treatment · Chemistry · Engineering · Computer Skills · Microsoft Office · English · R&D/Science · Sales/Retail · Engineering - Other
Workshop Engineer,Czech service center,Full timeExperienced · 3+ Yrs of Exp · Engineering · Mechanical Engineering · Maintenance · Audi · Seat · Workshop · Mechanical · German Vehicles · VoleksWagen · Engineering - Mechanical/Electrical
Technical Sales Engineer - Fluent In English - Alexandria,Sagueny Group,Full timeExperienced · 2+ Yrs of Exp · Inside Sales · Upselling · Indoor Sales · Outdoor Sales · Sales Skills · Mechanical Engineering · Electrical Engineering · Mechatronics · Sales · English
Outdoor Sales Representative,Bridge Egypt,Full timeExperienced · 3 - 4 Yrs of Exp · Sales · Sales Target · Sales Skills · Sales Process · Business Development · English · Business Development · Sales/Retail
Continuous Improvement Engineer,Confidential -,Full timeEntry Level · 1 - 3 Yrs of Exp · Six Sigma · Engineering · Continuous Improvement · Industrial · Process Improvement · Lean · Process · Lean Six Sigma · Manufacturing/Production · Quality
Customer Service Executive,korAddiction Sports Development & Entertainment,Full timeExperienced · 2 - 4 Yrs of Exp · females_only · Customer Service · English · Communication · Negotiation · Sales Skills · Sports · Football · Customer Service/Support
Medical Sales Representative - Giza,Pharaonia Pharma,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales Skills · Pharmacy · Science · Vet · Communication · Negotiation · Sales · Medical · Sales Target · Medicine
Freelance Copywriter/Proofreader,MAVINZ ,Freelance / ProjectExperienced · 2+ Yrs of Exp · Social Media Copywriting · Copywriting · Social Media · Automotive · Proofreader · Proofreading · Creative/Design/Art · Writing/Editorial
Outdoor Sales Representative ( Chemist ),Confidential -,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales Target · Outdoor Sales · English · Chemicals · medical representative · sales · chemical sales · Science · Representative · Microsoft Office
Sales Manager,Go Plus ,Full timeManager · 5 - 10 Yrs of Exp · Sales Skills · Sales Target · Sales · Aluminum · Sales/Retail
Product Manager,The Yellow Lad,Full timeEntry Level · 1 - 5 Yrs of Exp · Product Management · Sales · Marketing · Sales/Retail · Fashion
Manager / Personal Assistant,The Yellow Lad,Full timeExperienced · 2+ Yrs of Exp · PA · Administration · Manager · Fashion · Secretary · Management · Administration · Operations/Management
Lead Developer - Magento Platform,Dimensions Cloud,Full timeManager · 5+ Yrs of Exp · Information Technology (IT) · Software Development · Magento · PHP · Agile · MVC · E-Commerce · Software · Computer Science · javaScript
Process Improvement Specialist,Future Group,Full timeExperienced · 2+ Yrs of Exp · Process Improvement · Quality · Research · R&D/Science · Analyst/Research
